fileName,Roll,Year,Month,Day,Location,Latitude,Longitude,Altitude,pid_tn,pid_jpeg,pid_tiff,fiducial_proxy_type,focal_length
AP67V2_261,,,,,,,,unknown,,urn:uuid:a6da7490-53e1-46b4-821f-e1b67cefa763,urn:uuid:966fc1ce-7d9b-417b-9c91-1db4ba925b97,,
AP67V2_262,,,,,,,,unknown,,urn:uuid:9e3edde9-796b-4e73-a76f-5607ebdb2c09,urn:uuid:0378a6d1-668d-43bf-aa8b-0dcb849f228e,,
AP67V2_263,,,,,,,,unknown,,urn:uuid:6e020d90-66b5-453d-af42-6e6a590a0711,urn:uuid:aedfdbeb-31c1-48dd-bb62-b8d162aa270f,,
AP67V2_264,,,,,,,,unknown,,urn:uuid:83a00051-cb53-406e-a3a2-7368446349b4,urn:uuid:e2e1d450-9d9d-46f2-93a5-9605f1da1976,,
AP67V2_266,,,,,,,,unknown,,urn:uuid:3221b61d-5b64-442a-8845-d26e0b20f727,urn:uuid:5db95a88-c108-4b01-a3d8-85243fe0f688,,
AP67V2_267,,,,,,,,unknown,,urn:uuid:a1431c7c-382c-43f0-8b11-5982a0269c0d,urn:uuid:2123a005-78ce-4183-83f4-b1265ae19d45,,
AP67V2_268,,,,,,,,unknown,,urn:uuid:206af16a-7157-4f9e-ae79-0b2b42389108,urn:uuid:52f499bf-b84b-4152-ad59-6f0dab98d3ee,,
AP67V2_269,,,,,,,,unknown,,urn:uuid:da7aa661-f868-4a08-ba1b-b97f2a5d6cf2,urn:uuid:6a16d3d1-9536-4f97-8edc-6191bebdd99f,,
AP67V2_270,,,,,,,,unknown,,urn:uuid:c6d690e3-79c3-47cd-8c65-472ce821c7d6,urn:uuid:76696d4a-fa01-4bbd-a630-ab5c9f4960b9,,
AP67V2_271,,,,,,,,unknown,,urn:uuid:703b3e28-2d6b-4670-a29f-c47bb4fbe3aa,urn:uuid:67e661a1-ffb1-4b40-89f2-0462b1674d8a,,
AP67V2_272,,,,,,,,unknown,,urn:uuid:7e170fb0-a339-4cc7-a056-4d0c5905af07,urn:uuid:3c24e440-0a12-41dd-8299-32ce395acda2,,
AP67V2_273,,,,,,,,unknown,,urn:uuid:1d2d53f9-2e97-417f-b15b-f212f1d3c871,urn:uuid:61291e0d-ba09-4c28-8c36-07f838679491,,
AP67V2_274,,,,,,,,unknown,,urn:uuid:931ea557-dd46-4caf-9fd4-b9bcaf9da616,urn:uuid:07c57b40-038a-4caa-bcb6-db6ce4eac2b6,,
AP67V2_275,,,,,,,,unknown,,urn:uuid:09fc089d-c39b-420f-8db4-e5e23cba7175,urn:uuid:60fbb662-f4cb-49fb-9364-f88e6fa3b776,,
AP67V2_276,,,,,,,,unknown,,urn:uuid:dc84fcd5-6b84-487e-90bb-2434bda25300,urn:uuid:3c871bcf-1c61-47e3-8dec-bc1980487943,,
AP67V2_277,,,,,,,,unknown,,urn:uuid:18977448-4500-484c-9f56-d5672995ceb7,urn:uuid:2c15fb10-a6a7-4288-91a0-16181a33b95b,,
AP67V2_278,,,,,,,,unknown,,urn:uuid:17db5bd1-0139-4ea5-9d54-acd53da46591,urn:uuid:d4e90f2c-e41c-4582-9d06-4005cf5c2d85,,
AP67V2_279,,,,,,,,unknown,,urn:uuid:83de4b04-1216-4f40-9293-fa6a86f442e7,urn:uuid:c9d16b9b-bd5c-45a5-9b48-6b515bcd6998,,
AP67V2_280,,,,,,,,unknown,,urn:uuid:9e615096-2fa4-4e98-91b6-17cfebe4a72b,urn:uuid:e620a498-2d83-4570-bbb2-3e19c2cdac60,,
AP67V2_281,,,,,,,,unknown,,urn:uuid:299ad2a1-30ba-487f-b029-5fc9a8655bea,urn:uuid:c3516708-c590-42a9-911b-7979f9c3751c,,
AP67V2_282,,,,,,,,unknown,,urn:uuid:cd501376-8967-4451-8d39-f437dc018961,urn:uuid:7ca84148-4ec8-47ce-bb7c-d29bf19ed247,,
AP67V2_283,,,,,,,,unknown,,urn:uuid:c87fa917-71a6-4b0e-b126-1a922dfac6fc,urn:uuid:d1580ee7-cb92-45ba-8716-3e4f5f3cc6e4,,
AP67V2_284,,,,,,,,unknown,,urn:uuid:3a263a39-0393-487e-8224-b3fabc713da7,urn:uuid:4f9c3adf-759e-41ca-bae2-e03145c90b02,,
AP67V2_285,,,,,,,,unknown,,urn:uuid:5b60e381-c82d-45b8-a64b-56ac7acd0d6e,urn:uuid:180fce10-b11b-4431-9177-748941896ef0,,
AP67V2_286,,,,,,,,unknown,,urn:uuid:ed69a0c7-3df5-4c48-b013-05b54f4c64e3,urn:uuid:d5528498-f2a2-4543-ade1-92eb317d6d0c,,
AP67V2_287,,,,,,,,unknown,,urn:uuid:bfe46552-f868-440c-8e3e-a29fd3865018,urn:uuid:85b98fda-0752-4d6d-b12b-580e0d299d6a,,
AP67V2_288,,,,,,,,unknown,,urn:uuid:c938eedf-5c4d-49c8-8122-7195bf35c19d,urn:uuid:efdb1625-810e-4f5d-9e50-3bf1221e2e64,,
AP67V2_289,,,,,,,,unknown,,urn:uuid:917086b2-6878-4d9e-a9c2-3e8fb0a4f535,urn:uuid:11e5bc36-542c-4eb0-a0c3-77b778221bd3,,
AP67V2_290,,,,,,,,unknown,,urn:uuid:35dd7a23-87b8-4398-8022-bd5adff7dac1,urn:uuid:71f236be-38f5-4f4e-a9fc-6276d722059b,,
AP67V2_291,,,,,,,,unknown,,urn:uuid:a2edac10-9f97-42f5-a09b-1e183c6decfb,urn:uuid:fb360456-d912-43e7-9021-a6ce26b00ed5,,
AP67V2_292,,,,,,,,unknown,,urn:uuid:b668bf12-5302-40a0-82b0-1adc4a2d5b1f,urn:uuid:9a684603-1bb8-4689-8e4a-da747d2fca8c,,
AP67V2_293,,,,,,,,unknown,,urn:uuid:9af1defd-09fe-41a5-b988-f9ab79e4db1c,urn:uuid:7dbb9815-157c-49a2-9d49-a9fa9463460d,,
AP67V2_294,,,,,,,,unknown,,urn:uuid:0e755768-1a4f-49e9-b15d-a6c8a4cc3d20,urn:uuid:f3e355b8-1e0b-481c-9165-15b767580236,,
AP67V2_295,,,,,,,,unknown,,urn:uuid:a369a956-8101-4359-a7a4-a00fffa4fcbb,urn:uuid:088024d4-d7d3-483d-8fa4-7190b32afde1,,
AP67V2_296,,,,,,,,unknown,,urn:uuid:d61b66e9-c7fb-4d38-9338-b587c8ef0c34,urn:uuid:15ba283e-3e35-45df-9998-6faf59f5950c,,
AP67V2_297,,,,,,,,unknown,,urn:uuid:3ec24e4f-d852-4308-ac0f-ce98ef1ea655,urn:uuid:baaa7e29-c51e-4a3d-b38b-34bb11ee2a61,,
AP67V2_298,,,,,,,,unknown,,urn:uuid:d7d6d738-5d80-4c57-9627-6f40daf3aabb,urn:uuid:4c87755c-cd49-43e4-a6e8-dc221d4fac41,,
AP67V2_299,,,,,,,,unknown,,urn:uuid:a94be442-90c6-4995-9046-54d1561d574e,urn:uuid:8b9f7811-2b5f-434c-b510-530efb4cfd07,,
AP67V2_300,,,,,,,,unknown,,urn:uuid:25259425-1124-4e0f-8e1b-4b40c650126a,urn:uuid:0f50ff86-58cd-46a3-a97d-48c0ef060ca6,,
AP67V2_301,,,,,,,,unknown,,urn:uuid:b9b74ae7-3282-49fe-8803-3d675cccf985,urn:uuid:b1259566-9677-4b28-b04f-46c5b60709bd,,
AP67V2_302,,,,,,,,unknown,,urn:uuid:d300b35b-7179-44b1-8511-8959b39b4ab0,urn:uuid:3e706768-84a3-45fc-8bd1-013b3d0bc8c6,,
AP67V2_303,,,,,,,,unknown,,urn:uuid:44649a38-c9cf-4ccf-a747-b3e40d1ec38f,urn:uuid:1fd9ae73-96e9-4a6d-94b7-b2d841e31464,,
AP67V2_304,,,,,,,,unknown,,urn:uuid:7b54b5a5-ef7a-4a8f-8f5c-d69c677d339b,urn:uuid:5e1addfb-cfd8-4890-8df5-6c00ef218264,,
AP67V2_305,,,,,,,,unknown,,urn:uuid:4e12f9d5-d1a8-4ccb-9159-ce645e8d3c58,urn:uuid:b4aed148-cfe6-46b0-9ff5-5a2ca96c7373,,
AP67V2_306,,,,,,,,unknown,,urn:uuid:1157340f-1b07-4dc9-93a2-6b5c697b3888,urn:uuid:1a890ae8-c5b0-4b53-be9d-42308b3e1c71,,
AP67V2_307,,,,,,,,unknown,,urn:uuid:ef6cb59e-2841-43c4-8d6b-bad407ad92aa,urn:uuid:7a10e6bd-0777-4fd5-ac20-e06b25724bec,,
AP67V2_308,,,,,,,,unknown,,urn:uuid:302bc997-b6a4-4b0e-bfe4-0b8829ae2449,urn:uuid:e2ce5d10-906d-4e4e-a76d-646856b24f3b,,
AP67V2_309,,,,,,,,unknown,,urn:uuid:2ecc5de9-e318-4248-958c-b85d59ee9310,urn:uuid:44f03389-c2e1-439e-979d-e7ac65898817,,
AP67V2_310,,,,,,,,unknown,,urn:uuid:0ceddda4-4928-418b-8fac-c59c6b3f1ee6,urn:uuid:facef273-da78-4577-bef2-90beeaf312f1,,
AP67V2_311,,,,,,,,unknown,,urn:uuid:6f06d33f-01fb-4c2b-a7dd-20c5f3e1fc8a,urn:uuid:5ef82781-4dfc-4b9b-98a4-f90af9a8b757,,
AP67V2_312,,,,,,,,unknown,,urn:uuid:135ade3e-3d32-4aad-b41b-c3b7e640d90e,urn:uuid:36071c94-e111-4ffa-a3fd-13e1a897bf61,,
AP67V2_313,,,,,,,,unknown,,urn:uuid:b307b33f-65a0-4c94-9a4d-170b68ed102c,urn:uuid:0386e8f9-a3fa-4346-8a92-b6c34b68b887,,
AP67V2_314,,,,,,,,unknown,,urn:uuid:f04f8c42-1338-4aa6-a331-07df3b365e34,urn:uuid:bf314cd9-2823-43b7-9a56-6f5751b106e6,,
AP67V2_315,,,,,,,,unknown,,urn:uuid:a3422011-a51f-4c66-8e5d-8fd8e25a391a,urn:uuid:7273d7f4-8b88-4073-b4f7-d713bdbf444a,,
AP67V2_316,,,,,,,,unknown,,urn:uuid:c93d3149-e234-4ce3-97cb-1aa7c88a0d23,urn:uuid:68d823d7-7de1-4ab3-9fc1-877f3e172ab2,,
AP67V2_317,,,,,,,,unknown,,urn:uuid:8c46b1e9-8355-4f1b-8e81-86830380ec6f,urn:uuid:ba926f29-e950-45ba-a3e0-c7e6b1fba152,,
AP67V2_318,,,,,,,,unknown,,urn:uuid:4e1db6d8-b0dc-41bb-abd3-efbbd315f0e7,urn:uuid:a131ad5c-ded3-41de-be81-6ba4c548bf21,,
AP67V2_319,,,,,,,,unknown,,urn:uuid:d994e6f2-7187-4e3a-8bcb-da4066db6608,urn:uuid:61fd4f93-4ad0-4638-ae5b-979f92c82935,,
AP67V2_320,,,,,,,,unknown,,urn:uuid:e749d12d-22a5-4252-a0f5-2623d9e8ea21,urn:uuid:d3162036-2df7-49d8-b792-26bbcbca8531,,
AP67V2_321,,,,,,,,unknown,,urn:uuid:87ca1865-dbb7-41b5-b4cc-2b5183e2bb13,urn:uuid:dd391a96-b00c-441e-b9e3-80bf3c7d3696,,
AP67V2_322,,,,,,,,unknown,,urn:uuid:ce9c77f6-400e-4ff4-a2f6-ec197442e824,urn:uuid:062c7148-43f2-4a0c-b123-4a7513043ae0,,
AP67V2_323,,,,,,,,unknown,,urn:uuid:9d5cd88a-6234-46b1-af5c-20e07e70ea63,urn:uuid:98485ecf-d77d-469a-99d3-facc0277ad7b,,
AP67V2_324,,,,,,,,unknown,,urn:uuid:3a2c523f-ad04-4a6d-b9ba-ab24c9d0f709,urn:uuid:9f385dbf-7c0d-4a01-9e78-e17496f6b921,,
AP67V2_325,,,,,,,,unknown,,urn:uuid:477d974f-fba9-4cdc-bde3-da78153095ce,urn:uuid:f709fe67-9025-4e6b-9492-a1f5499532f3,,
AP67V2_326,,,,,,,,unknown,,urn:uuid:da778f6a-1773-4fdc-bb51-80651fcebc2b,urn:uuid:09890ad5-ae14-4146-980b-da92ef064863,,
AP67V2_327,,,,,,,,unknown,,urn:uuid:851c866f-47fe-4022-983e-72460ea82be4,urn:uuid:1cf37655-77ed-4a5e-bb8d-7d3206932a00,,
AP67V2_328,,,,,,,,unknown,,urn:uuid:2d113c4c-88c5-44df-8c6f-77cf61e28390,urn:uuid:571ec1ce-5382-4546-a2e6-65d8a617fd34,,
